Scan Id	Parent m/z	TIC	RT	MS Level	Parent Scan	Child Scans	Ion Injection Time	Cycle Time	Elapsed Time	Dead Time	Time To Next Scan	Lock Mass Found	Lock Mass Shift	Conversion Parameter I	Conversion Parameter A	Conversion Parameter B	Conversion Parameter C	Conversion Parameter D	Conversion Parameter E	Dissociation Type	Polymer Segment Size	Polymer Offset	Polymer Score	Polymer p-value	Base Peak m/z	Base Peak Intensity	Second Peak m/z	Second Peak Intensity	Source Current (uA)	Vacuum Ion Gauge (E-5 Torr)	Vacuum Convectron Gauge (Torr)	FT Penning Gauge (E-10 Torr)	FT Pirani Gauge 1 (Torr)	Multiplier 1 (V)	Multiplier 2 (V)	FT CE Measure Voltage (V)	FT Analyzer Temp (C)
1		6914111.5	0.0029460359	1		0	100.0	0.375804	0	0.375804	0.375804	0	0	0	0	67818112.4289	31643816.2957	0	0		-1	-1	0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
2		87472496	0.0092094359	1		0	1.96	0.327787026	0	0.327787026	0.327787026	0	0	0	0	67817895.3981	31643613.7626	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3		87555536	0.014672553	1		1	1.172	0.35829798	0	0.35829798	0.28666188	0	0	0	0	67818007.1925	31643718.0888	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	397.81	3500048.8	0.019450251	2	3	0	50	0	0	0.0716361	0.0716361	0	0	0	0	67818158.5391	31643859.3266	0	0	hcd	31	0	0	1	335.807126517	145325.6875	256.887115942	90794.6328125	0	0	0	0	0	0	0	0	0
5		98334656	0.020644186	1		0	1.349	0.33429798	0	0.33429798	0.33429798	0	0	0	0	67817955.8743	31643670.2003	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
6		94349136	0.026215819	1		2	1.229	0.52906302	0	0.52906302	0.28666092	0	0	0	0	67817982.8975	31643695.4166	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7	426.8	2786074.5	0.030993501	2	6	0	50	0	0	0.14138304	0.14138304	0	0	0	0	67818162.8135	31643863.3145	0	0	hcd	31	0	0	1	336.807991945	254230.40625	326.821103246	97299.8515625	0	0	0	0	0	0	0	0	0
8	387.15	5729888.5	0.033349885	2	6	0	50	0	0	0.10101906	0.10101906	0	0	0	0	67818145.0865	31643846.7718	0	0	hcd	30	0	0	1	111.117988422	274424.3125	315.817332438	256854.34375	0	0	0	0	0	0	0	0	0
9		97187776	0.035033536	1		0	2.194	0.32541198	0	0.32541198	0.32541198	0	0	0	0	67817829.9955	31643552.7304	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
10		94884672	0.040457069	1		1	1.012	0.37854702	0	0.37854702	0.28656192	0	0	0	0	67818017.4428	31643727.6546	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
11	491.21	1783317.2	0.045233101	2	10	0	50	0	0	0.0919851	0.0919851	0	0	0	0	67818167.7965	31643867.9644	0	0	hcd	30	0	0	1	266.95872545	109772.773438	336.808651216	90901.65625	0	0	0	0	0	0	0	0	0
12		96979752	0.046766186	1		0	1.464	0.32329098	0	0.32329098	0.32329098	0	0	0	0	67817941.177	31643656.484	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
13		98754472	0.052154369	1		2	1.138	0.584706	0	0.584706	0.28667994	0	0	0	0	67817991.47	31643703.4171	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
14	557.1	1045892.6	0.056932368	2	13	0	50	0	0	0.19690002	0.19690002	0	0	0	0	67818168.4329	31643868.5584	0	0	hcd	30	0	0	1	336.802563965	78435.5234375	512.700821632	27531.1699219	0	0	0	0	0	0	0	0	0
15	391.29	3780970.2	0.060214035	2	13	0	50	0	0	0.10112604	0.10112604	0	0	0	0	67818157.1107	31643857.9927	0	0	hcd	30	0	0	1	149.024823532	334217.1875	281.879910267	114490.3125	0	0	0	0	0	0	0	0	0
16		97639408	0.061899469	1		0	2.174	0.374175	0	0.374175	0.374175	0	0	0	0	67817828.2429	31643551.0953	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
17		100371920	0.068135719	1		1	0.997	0.374295	0	0.374295	0.28666494	0	0	0	0	67818010.0864	31643720.7895	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
